"Events","num_dep_delays","num_arr_delays","max_dep_delay","avg_dep_delay","avg_weather_delay","max_arr_delay","avg_arr_delay","avg_sec_delay","avg_aircraft_delay","avg_carrier_delay"
"",81605,81605,768,23.417266098891,0.870546318289786,768,29.0466760615158,0.0243988831937326,8.74940617577197,19.8023711297245
"Fog",3434,3434,441,36.8884682585906,3.95289719626168,468,42.2218986604543,0.0418691588785047,17.8515887850467,17.0033644859813
"Fog-Rain",4707,4707,468,51.5738262162736,4.43868868868869,487,61.0781814319099,0,38.7547547547548,11.5322822822823
"Fog-Rain-Hail-Thunderstorm-Tornado",828,828,410,68.6751207729469,17.0682414698163,404,85.0893719806763,0,32.755905511811,21.0196850393701
"Fog-Rain-Thunderstorm",5392,5392,471,70.1570845697329,16.2087160863063,459,78.5958827893175,0,41.3142490920743,14.6107669301431
"Rain",32731,32731,480,31.0560630594849,3.01785394666189,474,36.776969845101,0.0187936280651512,14.9200375872561,17.2559960622875
"Rain-Snow",2143,2143,889,52.4377041530565,15.7108922363847,876,72.93700419972,0,23.0382387022016,18.7531865585168
"Rain-Thunderstorm",25223,25223,829,45.9565872418031,8.98106340331259,848,54.1830868651627,0.0207827829939867,22.4925625065935,18.0081759679291
"Snow",385,385,200,23.6051948051948,0.333333333333333,194,25.0181818181818,0,8.43290043290043,19.7532467532468
"Thunderstorm",2186,2186,332,35.0132662397072,2.52087475149105,319,37.9332113449222,0.0271703114645461,15.3207422133863,22.3200795228628
