"","UniqueCarrier","COUNT(UniqueCarrier)","MEDIAN(ArrDelay)","AVG(ArrDelay)"
"1","9E",250186,-2,8.13833707721455
"2","AA",613836,1,14.4418688379307
"3","AQ",45957,-4,-1.37689579389429
"4","AS",157123,0,9.26278775227051
"5","B6",187116,-1,13.4399356548879
"6","CO",319138,-1,10.2694633669447
"7","DL",468323,-1,7.30303871473321
"8","EV",276617,3,17.1957291128166
"9","F9",97248,1,7.43188548864758
"10","FL",259869,-2,7.93792256867883
"11","HA",55935,-3,-0.430517565030839
"12","MQ",516205,0,12.9927935606978
"13","NW",405872,3,12.5591417983995
"14","OH",224471,2,13.1350508528941
"15","OO",582871,0,8.83888716371204
"16","UA",477090,0,12.7531220524429
"17","US",475583,3,11.5272686365997
"18","WN",1156958,-2,5.47295839606969
"19","XE",422305,-3,10.0070517753756
"20","YV",282585,-1,10.9634764761045
